+-------------+---------+------------+
| FY26日均  | 汇总  | 573071.0   |
| FY26日均  | 中通  | 182103.0   |
| FY26日均  | 圆通  | 124895.0   |
| FY26日均  | 申通  | 90101.0    |
| FY26日均  | 韵达  | 77719.0    |
| FY26日均  | 极兔  | 54634.0    |
| FY26日均  | 邮政  | 39785.0    |
| FY26日均  | 京东快递 | 3834.0     |
| 2026年1月 | 汇总  | 560424.0   |
| 2026年1月 | 中通  | 178258.0   |
| 2026年1月 | 圆通  | 122934.0   |
| 2026年1月 | 申通  | 89135.0    |
| 2026年1月 | 韵达  | 75946.0    |
| 2026年1月 | 极兔  | 53128.0    |
| 2026年1月 | 邮政  | 37135.0    |
| 2026年1月 | 京东快递 | 3889.0     |
| 2026年2月 | 汇总  | 502120.0   |
| 2026年2月 | 中通  | 157506.0   |
| 2026年2月 | 圆通  | 110499.0   |
| 2026年2月 | 申通  | 76892.0    |
| 2026年2月 | 韵达  | 67286.0    |
| 2026年2月 | 极兔  | 47793.0    |
| 2026年2月 | 邮政  | 37533.0    |
| 2026年2月 | 京东快递 | 4612.0     |
| 2026年3月 | 汇总  | 511142.0   |
| 2026年3月 | 中通  | 156723.0   |
| 2026年3月 | 圆通  | 110638.0   |
| 2026年3月 | 申通  | 81731.0    |
| 2026年3月 | 韵达  | 68192.0    |
| 2026年3月 | 极兔  | 50967.0    |
| 2026年3月 | 邮政  | 39009.0    |
| 2026年3月 | 京东快递 | 3881.0     |
| 2026年4月 | 汇总  | 493515.0   |
| 2026年4月 | 中通  | 156493.0   |
| 2026年4月 | 圆通  | 108429.0   |
| 2026年4月 | 申通  | 78205.0    |
| 2026年4月 | 韵达  | 66807.0    |
| 2026年4月 | 极兔  | 47788.0    |
| 2026年4月 | 邮政  | 32174.0    |
| 2026年4月 | 京东快递 | 3618.0     |
| 2026年5月 | 汇总  | 442897.0   |
| 2026年5月 | 中通  | 138441.0   |
| 2026年5月 | 圆通  | 97624.0    |
| 2026年5月 | 申通  | 71167.0    |
| 2026年5月 | 韵达  | 60120.0    |
| 2026年5月 | 极兔  | 43726.0    |
| 2026年5月 | 邮政  | 28351.0    |
| 2026年5月 | 京东快递 | 3468.0     |
| T-1(20260511) | 汇总  | 390030.0   |
| T-1(20260511) | 中通  | 118449.0   |
| T-1(20260511) | 圆通  | 85535.0    |
| T-1(20260511) | 申通  | 62941.0    |
| T-1(20260511) | 韵达  | 53602.0    |
| T-1(20260511) | 极兔  | 40840.0    |
| T-1(20260511) | 邮政  | 25758.0    |
